Field,Value,Interpretation
Protocol,"NEUROLRES-ATLAS-SHIFT-v1.2","G5-locked formal evaluation"
Formal cohort,"762 cases; R2_TEST=288; SOOP=157; R3_NEW=317","Fixed denominator"
Model,"Task100_ATLAS_v2 3D full-resolution; nnUNetTrainerV2; nnUNetPlansv2.1","Existing model selected before formal prediction"
Folds,"0;1;2;3;4","All five folds used"
Ensemble,"Equal arithmetic mean of five fold softmax probabilities","Fixed inference contract"
TTA,false,"Disabled before formal prediction"
Mixed precision,false,"Disabled before formal prediction"
Post-processing,false,"None applied"
Binary rule,"Unchanged raw_value > 0.5","E2 locked rule"
Scoring repository,https://github.com/ezequieldlrosa/isles26,"Official ISLES'26 metric repository"
Official scorer version,"ISLES'26 official scorer repository snapshot at commit e589d022953f797bdc6acc1ce9701f793dab295a","Version is identified by immutable source commit"
Scoring repository commit,e589d022953f797bdc6acc1ce9701f793dab295a,"Source commit used by the official scorer"
Official eval_utils SHA-256,73668f48b70a56fe1ce785701595627ac3a6086412fb0f85b211ff7dc09ffcfd,"Exact official scorer file hash"
Panoptica commit,3cc264a470b5c02853aace0f30d6a9af21335abd,"Supporting instance-matching implementation"
Scoring environment,"Python 3.12.5; numpy 2.2.6; scikit-learn 1.6.1; scipy 1.18.1; panoptica 2.1.7; connected-components-3d 3.29.0; nibabel 5.3.3","Version-pinned environment"
Formal G4 scorer SHA-256,0fe6631bcd50aabe1289422e3913ed31c0ebff96cd2a5b9c2cb85308e35c1732,"Exact Resume-2 scorer script hash"
G4 lock SHA-256,792cf3f39e5a4965c9da86ac8cbdffa4fc72fc0b1c2faa16382405508214d746,"Lock used for the 762-case scoring run"
G4 preflight SHA-256,3fa592ac40c778a5c0afb4a13cef5d9c8251134db1894c41f647d32bb41cbe8e,"Preflight receipt hash"
G4 launch receipt SHA-256,6ebf0764f5236775c8b187b1edbd3d13f9397a109e500c81032f1e18f4915b33,"Resume-2 launch receipt hash"
G4 completion audit SHA-256,63e686e95f5ceb5430eff9c197d7299ca771b4beb5c127a12832b894f107b9a5,"Final output-integrity audit hash"
G3 triplet manifest SHA-256,b35b5ea9fea7ba08a2db8260e855f72ab032f2dd9df8d43aaffd5b988433c6dd,"Input/output triplet integrity manifest"
Resume behavior,"Skipped exactly 240 verified case JSON files and scored the remaining 522; no overwrite","Fixed resume policy"
Geometry rule,"Array-index scoring; equal shape and voxel size within 1e-6; no resampling","Official array-index implementation"
Bootstrap,"10000 joint center-cluster repetitions; seed 260827; NumPy linear percentile","Prespecified primary uncertainty"
Completion audit,"G4_FINAL_OUTPUT_INTEGRITY_PASS; 762/762 scored; n_failed=0","Final execution integrity"
